Initiative name,Initiative short name,Goal / USP / Benefit,Host organization type,Solution type,Sector,Potential for cross-sectors application ?,Focus on final product or supply chain exchange,Market scope,Current market penetration,Technology readiness,Business model,Target group (e.g. data/platform user),Product traceability,Functional and technical specifications,Product material composition information,Product design & service information,Product usage data,Product repair data,Recycling data,Circularity info & label (for consumer),Product ID: type,Product ID: granularity,Type,Machine readable data carrier,Resolver,ID minting,Data storage location,Data transport openness level,Data packaging,Level,if advanced,Data use management,Evidence,Convenience,Data protection,Traceability,Sector_count,Solution type_count,Host organization type_count,Target group (e.g. data/platform user)_count,Product traceability_count,Product material composition information_count,Product design & service information_count,Product usage data_count,Product repair data_count,Recycling data_count,Circularity info & label (for consumer)_count,Product ID: type_count,Product ID: granularity_count,Type_count,Traceability_count
3TAG,3TAG,"3TAG is creating a dynamic DPP to track Scope 3, circular indicators, and materials at the component and asset level throughout the products life cycle from manufacturer through customers to recycling.",['private company (industry)'],['platform'],['cross-sector'],yes,Both,International,Low,Concept,Pay per use,"['product developer and designer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers']","['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']","Other functional specifications (please specify below in field ""others""), Possible / flexible data model, Scope 3, CTI, and component at elemental level","['material information for eu compliance (e.g. reach', 'rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration']",['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],"['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related information (e.g. date of recycling', 'etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'possible / flexible data model']",['instance'],['single item'],['digital watermark'],no,yes,Centralized,Decentralized,proprietary,API,advanced,attribute based,enforcement,blockchain,Wallet,PETs,['integration with asset management and supply chain platforms'],1,1,1,13,5,5,1,1,1,5,4,1,1,1,1
3videnZ,3videnZ,"Our 'Enriched Circular Product Passport' (CPP+) uniquely bridges the gap between stakeholders throughout the product lifecycle, driving collaboration and profitability. 

Our solution elevates information sharing throughout the product's lifecycle while providing brands with insights into their products' post-sale journey and establishing a lasting, direct connection with the product owner. 

Our decentralized approach transforms our passports into infinitely interfaced and enrichable objects, enabling brands to offer a comprehensive 360-degree service ecosystem to their customers.",['private company (industry)'],['platform'],"['cross-sector', 'textile', 'electronics', 'battery', 'automotive']",yes,Final Product,EU,Medium,Prototype,Membership fee (per size and free use),"['consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'recycler', 'circular economy and interdisciplinary experts']","['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']",Possible / flexible data model,"['material information for eu compliance (e.g. reach', 'rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model']",['possible / flexible data model'],"['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date', 'use cycles', 'please specify below in field ""others"")', 'possible / flexible data model', 'user identification through the facilitated creation of a user wallet and the possibility to share info with the brand. usage data: everything needed (incl. purchase date', 'warranty date', 'use cycles', 'etc.)']","['repair company identification (e.g. id', 'address', 'etc.)', 'repair related information (e.g. date of repair', 'exchanged part', 'etc.)', 'possible / flexible data model']",['possible / flexible data model'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']",['category'],"['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Decentralized,Decentralized,standardized,Data transfer,advanced,role based,role based,blockchain,Wallet,Encryption,['tagging (qr)'],5,1,1,10,5,6,1,9,7,1,10,1,4,2,1
A Decentralized Blueprint for Digital Product Passports,DPP by Digimarc & IOTA,This project was commissioned via the EU EBSI project - the ask was for IOTA (Blockchain) and Digimarc (digital twin service provider) to come up with a blueprint of what a DPP solution would look like when combining blockchain with a standards based service provider (GS1 Digital Link & EPCIS 2.0),['private company (industry)'],['platform'],"['battery', 'cross-sector']",yes,Final Product,International,Medium,Prototype,Pay per use,"['consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'recycler', 'certification bodies', 'production identification', 'company identity providers', 'product identity providers']","['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']",Minimum functional specifications for compliance (e.g. energy consumption),['material information after own/individual list'],"['design related information (manuals', 'disassambly map', 'maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information', 'repair and update options)']","['usage data (e.g. purchase date', 'use cycles', 'please specify below in field ""others"")']","['repair company identification (e.g. id', 'address', 'etc.)', 'repair related infornation (e.g. date of repair', 'exchanged part', 'etc.)']","['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related infornation (e.g. date of recycling', 'etc.)']","['environmental label (e.g. eu eco flower)', 'label (cross-sectional or multi-criteria)', 'certifications', 'norms', 'standards (e.g. iso xy)']","['instance', 'category']","['batch', 'production order', 'single item']","['rfid', 'qr code', 'digital watermark', 'bluetooth label']",yes,yes,Centralized,Decentralized,standardized,API,advanced,role based,role based,verifiable credentials,Wallet,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)', 'digital watermarks']",2,1,1,10,5,1,5,3,6,5,5,2,3,4,3
Acme,Unknown,#OneTap Blockchain DPPs,['private company (industry)'],['platform'],['cross-sector'],yes,Final Product,International,Low,Application,Pay per use,"['consumer/public', 'distributor and retailer', 'company identity providers', 'product identity providers']","['date', 'locations']",Possible / flexible data model,['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],['instance'],['single item'],['qr code'],yes,yes,Decentralized,Decentralized,standardized,API,simple,Unknown,labelling,blockchain,Wallet,anonymization,['tagging (qr)'],1,1,1,4,2,1,1,1,1,1,1,1,1,1,1
Adetex.CS,Circlolink Digital Product Passport via RFiD Threads,"Washable RFiD THREADS® DPP links products from raw materials to feedstock including traceability, authenticity and connecting to circularity. It collects LCA, longevity and mitigation data along its lifecycle and offers accurate real-time EPR , compliance, SDGs, and metrics reporting to brands, stakeholders and government.

Stays with products to collect real-time data throughout entire lifecycle. Increases brands ROI through efficient returns and partnerships to rent, repair, resale, reuse, redesign then finally recycle, remanufacture, regenerate to repurpose. 

Bulk scan 1000s instantly, read by CIRCAA Cloud Platform connects to SCM plus unique QR Code for customer engagement. 

At POS is switched to open-source to engage ""R"" resource recovery sector at each stage. 

Facilitates semi-automated and automated sorting according to fibre and chemical composition to support safer feedstocks. RFID Threads 10cm metal thread is recovered to reset, reuse or recycle as e-waste. ",['private company (industry)'],"['platform', 'product data scheme', 'traceability solution', 'others']",['cross-sector'],yes,Both,International,Low,Application,Pay per use,"['market surveillance authorities', 'consumer/public', 'product developer and designer', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'collection', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'certification bodies', 'government institutions', 'technical experts / developers (front-end', 'back-end)', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'company identity providers', 'product identity providers', 'trusted intermediaries', 'entire value chain for products']","['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']","Possible / flexible data model, eg water repellent of a jacket and chemicals to identify to sort, identify and redistribute eg. ensure safer fibre 2 fibre recycling so forever chemicals dont end up in baby clothes.","['material information for eu compliance (e.g. reach', 'rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model', 'sorting facilities can use to semi-automate or automate and flag products with certain chemical composition and divert to appropriate feedstocks.']","['design related information (manuals', 'disassambly map', 'maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information', 'repair and update options)', 'possible / flexible data model', 'flexible data model is able to include brand requests', 'additional information on repairability', 'where to go', 'where to source replacement materials etc.']","['usage data (e.g. purchase date', 'use cycles', 'please specify below in field ""others"")', 'use cycles include returns (attach back to brands scm with a passcode)', 'or usage for rental', 'repair', 'resale', 'reuse', 'redesign then recycle. users are b2b']","['repair company identification (e.g. id', 'address', 'etc.)', 'repair related information (e.g. date of repair', 'exchanged part', 'etc.)']","['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related information (e.g. date of recycling', 'etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['can do both'],"['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Decentralized,Decentralized,cloud platform. RFID Threads connects to brands SCM system via a 'bridge' to maintain IP. Is switched off at point of sale or by request and then open source. Bridge is able to be reconnected through passwords to facilitate product returns.,Data transfer,advanced,attribute based,role based,data is collected in real-time and alerts and evidence prompts can be built in.,CIRCAA Cloud Platform is an app to collect data. Unsure if wallets are necessary. Creates unique QR Codes and Bar Codes.,"privacy is enacted from brands using and setting data initially attached to RFiD Threads and product data (manufacturing, location, fibre and chemical composition) etc","['tagging (qr)', 'tagging (nfc/rfid)', 'worlds first washable rfid tag in a thread. different thread weights for washability and durability eg for tyres.']",1,4,1,23,5,7,10,9,6,5,9,1,4,2,3
ANIMA BLOCKCHAIN,ANIMA,Unknown,['private company (industry)'],['platform'],['cross-sector'],yes,Both,EU,Low,Application,Pay per use,"['consumer/public', 'distributor and retailer', 'technical experts / developers (front-end', 'back-end)', 'technology / platform providers']","['date', 'locations']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others""), recycling method, warrant certificate, maintenance certificate and more",['full material declaration'],"['design related information (manuals', 'disassambly map', 'maintanance and washing instructions)', 'service related information (e.g. warrenty and recycling information', 'repair and update options)']","['user identification and method (please specify below in field ""others"")', 'yes we collect many information from users', 'such as name', 'surname', 'username', 'mail and many more (all of them are optional except for the email)']","['repair company identification (e.g. id', 'address', 'etc.)', 'repair related information (e.g. date of repair', 'exchanged part', 'etc.)']","['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related information (e.g. date of recycling', 'etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['unknown'],['unknown'],"['qr code', 'digital watermark', 'bluetooth label']",yes,yes,Decentralized,Decentralized,standardized,API,advanced,role based,role based,blockchain,Wallet,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)']",1,1,1,5,2,1,5,6,6,5,7,1,1,3,2
Antares Vision Track & Trace,AV.T&T,It is a complete solution hw/sw including a SaaS platform to track singular items and multiple aggregation levels (such as logistic containers) through the entire supply chain,['private company (industry)'],"['platform', 'product data scheme', 'traceability solution']","['cross-sector', 'textile', 'food', 'others']",yes,Both,International,High,Application,Pay per use,"['market surveillance authorities', 'consumer/public', 'distributor and retailer', 'remanufacturer', 'reuse', 'repair', 'refurbishment / washing and textile services', 'waste treatment and sorter', 'recycler', 'recycling material distributor and retailer', 'consumer protection associations', 'government institutions', 'production identification', 'circular economy and interdisciplinary experts', 'technology / platform providers', 'product identity providers', 'trusted intermediaries', 'oem', '3pls']","['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']","Other functional specifications (please specify below in field ""others""), FS and DS documents for GMP, GAMP, ISO9001, ISO45001,ISO14001,ISO270001 and highest quality standards in Pharma Industry ","['material information for eu compliance (e.g. reach', 'rohs)', 'material information for other compliance', 'material information after own/individual list', 'possible / flexible data model']",['possible / flexible data model'],"['usage data (e.g. purchase date', 'use cycles', 'please specify below in field ""others"")', 'possible / flexible data model']",['possible / flexible data model'],"['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related information (e.g. date of recycling', 'etc.)', 'possible / flexible data model']","['environmental indicator (e.g. co2 footprint)', 'label (cross-sectional or multi-criteria)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']","['instance', 'category']","['model', 'batch', 'production order', 'single item']","['rfid', 'qr code']",yes,yes,Centralized,Centralized,standardized,API,advanced,role based,role based,We follow the FDA 21 CFR/11,Data ports,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)']",4,3,1,19,5,5,1,4,1,6,6,2,4,2,2
Arianee,Arianee DPP,"The Arianee Association is an independent, participative organization whose mission is to build a global standard for Digital Passports by promoting and supporting the adoption of the Arianee protocol.

We help brands issuing passport in form of NFTs supporting DPP, warranty, proof of ownership/authenticity, and all services around a product. The main benefit of gathering everything on top of an NFT is to maximise adoption on the user side and make sure the DPP stay accessible all along the life of a product. ",['association'],['standard'],"['textile', 'electronics', 'battery', 'automotive', 'luxury']",yes,Both,International,Medium,Application,Pay per use,['unknown'],"['date', 'locations', 'transport means (e.g. vessel', 'track)', 'operators']","Minimum functional specifications for compliance (e.g. energy consumption), Other functional specifications (please specify below in field ""others"")",['full material decleration'],['unknown'],"['user identification and method (please specify below in field ""others"")', 'usage data (e.g. purchase date', 'use cycles', 'please specify below in field ""others"")', 'every information is stored with a time stamping']","['repair company identification (e.g. id', 'address', 'etc.)', 'repair related infornation (e.g. date of repair', 'exchanged part', 'etc.)']","['recycler company identification (e.g. id', 'address', 'etc.)', 'recycling related infornation (e.g. date of recycling', 'etc.)']","['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'social label (e.g. ...)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['instance'],"['batch', 'single item']","['rfid', 'qr code', 'digital watermark', 'bluetooth label']",yes,no,Decentralized,Decentralized,standardized,Data transfer,advanced,Unknown,role based,blockchain,Wallet,anonymization,"['tagging (qr)', 'tagging (nfc/rfid)']",5,1,1,1,5,1,1,5,6,5,9,1,2,4,2
"Arizon RFID Technology (Hong Kong) Co., Ltd. Taiwan Branch",Arizon TW,Unknown,"['private company (industry)', 'public organization (policy)']","['platform', 'others']","['cross-sector', 'textile', 'electronics', 'automotive', 'others']",yes,Both,International,Low,Prototype,Free,['production identification'],"['date', 'locations', 'transport means (e.g. vessel', 'track)']",Unknown,['unknown'],['unknown'],"['user identification and method (please specify below in field ""others"")']",['unknown'],['unknown'],"['circularity indicator (score e.g. repairability index)', 'environmental indicator (e.g. co2 footprint)', 'environmental label (e.g. eu eco flower)', 'label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)']",['unknown'],['unknown'],"['rfid', 'qr code']",unknown,yes,Unknown,Unknown,Unknown,API,Unknown,Unknown,enforcement,Unknown,Unknown,Unknown,"['tagging (qr)', 'tagging (nfc/rfid)']",5,2,2,1,4,1,1,1,1,1,8,1,1,2,2
Ascent,Ascent Trace,"Main Functionalities of Our Solution:
*Data Collection: Versatile Data Ingestion: Capable of collecting data in any format, from various sources.
*Information Extraction: Automated Document Parsing: Extracts necessary information from a range of documents effortlessly.
*Data Validation: Conformity Checks: Verifies the integrity and conformity of incoming data against predefined rules or industry standards.
*Data Transformation : Data Normalization: Standardizes the data to facilitate easier management and analysis.
*Database Integration : Structured Data Storage: Seamlessly integrates the collected and transformed data into a structured database.

Additional Features for Data Accessibility: 
* API Integration: Enables easy data retrieval via Application Programming Interfaces (APIs).
* Natural Language Interface : Provides a user-friendly interface that allows consumers to access data through natural language queries.",['private company (industry)'],"['platform', 'traceability solution']",['food'],yes,Both,Regional (more than 2 countries in regional scope),Low,Application,Pay per use,"['product developer and designer', 'distributor and retailer', 'production identification', 'food producer and food distributor']","['date', 'locations']",Possible / flexible data model,"['material information for eu compliance (e.g. reach', 'rohs)', 'material information for other compliance', 'material information after own/individual list', 'full material declaration', 'possible / flexible data model']","['service related information (e.g. warrenty and recycling information', 'repair and update options)', 'possible / flexible data model']",['possible / flexible data model'],['possible / flexible data model'],['possible / flexible data model'],"['label (cross-sectional or multi-criteria)', 'compliance related information (e.g. rohs/reach/weee compliant)', 'certifications', 'norms', 'standards (e.g. iso xy)', 'possible / flexible data model']",['category'],"['model', 'batch', 'production order']",['unknown'],no,no,Centralized,Decentralized,standardized,Unknown,advanced,role based,role based,verifiable credentials,Wallet,Unknown,['tagging (qr)'],1,2,1,4,2,6,3,1,1,1,6,1,3,1,1
